first_name,last_name
Decebal,Popescu
Petrica,Tanase
Boian,Rus
Liviu,Stoica
Alexandru,David
Cosmin,Muntean
Andreea,Rosu
Corneliu,Lungu
Andrei,Muresan
Ionut,Dan
Silviu,Matei
Gheorghe,Dobre
Alin,Moldovan
Iulian,Voicu
Iuliu,Ene
Nelu,Neagu
Nandru,Dinu
Beniamin,Rusu
Ignat,Fischer
Anton,Erner
Necula,Pichler
Dracul,Zamfir
Wadim,Dan
Dorin,Fieraru
Dragos,Albescu
Catalin,Barbaneagra
Costel,Răzvan
Stefan,Vulpe
Marku,Sala
Apostol,Reiter
Tiberiu,Mahbed
Ioan,Ungureanu
Neculai,Jurovschi
Dragomir,Zugravescu
Constantin,Albu
Fane,Covaci
Eugen,Ardeleanu
Laurentu,Matei
Marian,Rusu
Ferka,Cretu
Anamaria,Iordanescu
Costin,Romanescu
Gavril,Ciobanu
Ovidiu,Tecuceanu
Ion,Roșu
Stelian,Munteanu
Skender,Camelia
Valeriu,Oncea
Sergiu,Ursu
Florin,Cojocaru
Iacob,Chirilov
Doru,Petrescu
Iosif,Craioveanue
Veaceslav,Ioveanu
Vasile,Dragavei
Virgiliu,Enache
laviu,Bucur
Miahita,Dalca
Iancu,Eder
Sandu,Zimbrean
Iorghu,Lupei
Aurel,Darius
Viorel,Funar
Mitica,Net
Anghel,Net
Iancu,Mayer
Mircea,Bucinschi
Sorin,Căpreanu
Nicolae,Botezatu
Grigore,Bălan
Ghenadie,Lazarescu
Lucian,Schmidt
Danut,Nectaria
Nicu,Florescu
Andra,Laurentiu
Vali,Croitoru
Pompiliu,Maier
Petre,Bourean
Ionatan,Marcu
Ciprian,Tarniceriu
Claudiu,Sebastian
Petru,Hatmanu
Inica,Codrin
Vasilica,Floarea
Costica,Dascalu
Mihai,Hofer
Carol,Neculcuea
Cornel,Luca
Haralamb,Daniel
Ionel,Ionescu
Ilie,Grosu
Nicusor,Aldea
Serghei,Lungu
Cezar,Muller
Cristian,Andrea
Horatiu,Gabriel
Dumitru,Lupu
Radu,Anemona
Cristi,Barbu
Emilian,Baciu
